text,label,explanation,__index_level_0__
"Users should revisit the terms periodically, although in case of material changes, the service will notify",potentially_fair,"The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",0
This service does not sell your personal data,clearly_fair,"This service makes an explicit promise not to sell ""personal data"" of users.",1
This service assumes no liability for any losses or damages resulting from any matter relating to the service,potentially_fair,"The service assumes no liability for any damages the user incurs, including tangible (e.g. profits) and intangible losses (e.g. data), resulting from the use or inability to use the service or any other matter relating to the service.",2
IP addresses of website visitors are not tracked,clearly_fair,The Service disclaims that IP adresses from users are not collected (or anonymized) nor shared.,3
The service will resist legal requests for user information where reasonably possible,clearly_fair,"The service will attempt to protect user information to a great extent, even so far as stating that they will only follow legal requirements to disclose user information in circumstances where this cannot be reasonably resisted.",4
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",potentially_fair,"The service provider expressly does not claim to provide uninterrupted, timely, secure or error-free service.",5
This service does not track you,clearly_fair,"The document excerpt needs to include the words ""[the service] does not track [users]"" or ""[the service] does not use any tracking technology"".",6
The service is provided 'as is' and to be used at the users' sole risk,potentially_fair,"This service does not provide any guarantees as to its usability or fitness for the users' purposes. Users agree to use it at their own risk, accepting any possible bugs, malfunctions or harm to their devices.",7
"Users agree not to submit libelous, harassing or threatening content",potentially_fair,"This service prohibits users from submitting content of a variety of types. This can include content that is unlawful, harassing, abusive, threatening, libelous, sexist, racist, homophobic, transphobic, or discriminatory in any other way.",8
Your personal data is used for limited purposes,clearly_fair,"Your Personal Data is only used for the essential purposes of the Service, which are clearly defined on the Agreements. For instance, the Service won't abuse your data to deliver targeted advertisements to you or for marketing purposes.",9
You have the right to leave this service at any time,clearly_fair,"You can stop using the service and/or cancel or delete your account at any time for any reason. Moreover, the termination is reasonably fast and simple.",10
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,potentially_fair,"This service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",11
"User-generated content is encrypted, and this service cannot decrypt it",clearly_fair,"Content generated by the users is end-to-end encrypted, in a way that it can't be accessed by anyone unauthorised, and even the service has no technical means to decrypt it.",12
The service does not use third-party analytics or tracking platforms,clearly_fair,There are no Google Analytics or other tracking codes embedded in the service.  Any tracking is performed by the service itself.,13
Your personal data is aggregated into statistics,potentially_fair,"Your personal data is used for statistics in a de-identified/aggregated form (i.e. not directly linked to a unique identity) to analyse trends, for research and for analytics.",14
The terms for this service are translated into different languages,potentially_fair,"Although there's generally a unique binding language for the terms, they are translated to allow all users to understand the agreement they're accepting, no matter their native language.",15
This service provides an onion site accessible over Tor,clearly_fair,Tor is a software for anonymous communication that directs Internet traffic through an overlay network. Onion sites are only available through Tor browser and provide additional security and anonymity to users.,16
The service can delete your account without prior notice and without a reason,potentially_unfair,"At any time, your account can be terminated without explanation and without warning by the service. ",17
The service does not share user information with third parties,clearly_fair,Information collected from users by this service is not given to third parties.,18
This service uses third-party cookies for statistics,potentially_unfair,"For instance, Google Analytics, rather than self-hosted (first-party) statistics software.",19
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",potentially_unfair,"The data retention period states how long a service keeps user data. In this case, the service may anonymize the personal data after its retention period is over and use it for analytical or research purposes.",20
There is a date of the last update of the terms,potentially_fair,The given text has a date that allows to know when it was last updated.,21
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,potentially_fair,"Even if the service does not or not always enforce all of the rules or provisions contained in its terms, they still apply. Users can at a later time still be held accountable for violating provisions that have not been enforced consistently.",22
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,potentially_fair,"Should any portion of the Terms of Service be unenforceable or invalid, that portion will be enforced to the fullest extent permitted by applicable law and the remainder of the TOS will remain valid and enforceable.",23
You are responsible for maintaining the security of your account and for the activities on your account,potentially_fair,"You are responsible for protecting the confidentiality of your password and for maintaining the security of your account. Any activity occurring under your account is your responsibility, whether authorized by you or not. ",24
The service does not guarantee accuracy or reliability of the information provided,potentially_fair,This service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,25
A free help desk is provided,clearly_fair,The service can be easily contacted for questions or provides a support center at no extra cost.,26
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",potentially_unfair,"Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",27
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,potentially_fair,"Even though the Do Not Track (DNT) header was not implemented perfectly, services should not track users whose browsers send a DNT header.",28
Blocking first party cookies may limit your ability to use the service,potentially_fair,"Most browsers allow users to set preferences related to cookies storage. You may choose to block all cookies (including first-party cookies), but it may impact your use of this service and you may not be able to access some or any of the features provided.",29
You can opt out of targeted advertising,clearly_fair,"The service employs your data to target ads to you, but you can opt-out of this interest-based advertising.",30
First-party cookies are used,potentially_fair,First-party cookies only belong to the domain of the service and not a third party.,31
Third parties are involved in operating the service,potentially_fair,,32
The service informs you that its privacy policy does not apply to third party websites,potentially_fair,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",33
"The terms may be changed at any time, but you will receive notification of the changes",potentially_fair,"The Terms may be updated without prior notice, but users will be notified of the changes at the moment they will start applying.",34
Information is provided about how your personal data is used,clearly_fair,"The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",35
