text,risk_category,risk_severity
"Users should revisit the terms periodically, although in case of material changes, the service will notify",Policy change risk,low
This service does not sell your personal data,Personal data usage,none
This service assumes no liability for any losses or damages resulting from any matter relating to the service,Data security and Liability,low
IP addresses of website visitors are not tracked,Personal data usage,none
The service will resist legal requests for user information where reasonably possible,Rule usage enforcement,none
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Data security and Liability,low
This service does not track you,Personal data usage,none
The service is provided 'as is' and to be used at the users' sole risk,Data security and Liability,low
"Users agree not to submit libelous, harassing or threatening content",Account responsibility,low
Your personal data is used for limited purposes,Personal data usage,none
You have the right to leave this service at any time,Account termination risk,none
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,Data security and Liability,low
"User-generated content is encrypted, and this service cannot decrypt it",Data security and Liability,none
The service does not use third-party analytics or tracking platforms,Third party dependency risk,none
Your personal data is aggregated into statistics,Personal data usage,low
The terms for this service are translated into different languages,Policy change risk,low
This service provides an onion site accessible over Tor,Data security and Liability,none
The service can delete your account without prior notice and without a reason,Account termination risk,medium
The service does not share user information with third parties,Third party dependency risk,none
This service uses third-party cookies for statistics,Third party dependency risk,medium
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",Personal data usage,medium
There is a date of the last update of the terms,Policy change risk,low
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,Rule usage enforcement,low
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,Legal remedy limitation,low
You are responsible for maintaining the security of your account and for the activities on your account,Account responsibility,low
The service does not guarantee accuracy or reliability of the information provided,Data security and Liability,low
A free help desk is provided,Change of service risk,none
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",Personal data usage,medium
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,Personal data usage,low
Blocking first party cookies may limit your ability to use the service,Access restriction,low
You can opt out of targeted advertising,Personal data usage,none
First-party cookies are used,Personal data usage,low
Third parties are involved in operating the service,Third party dependency risk,low
The service informs you that its privacy policy does not apply to third party websites,Third party dependency risk,low
"The terms may be changed at any time, but you will receive notification of the changes",Policy change risk,low
Information is provided about how your personal data is used,Personal data usage,none
Private messages can be read,Personal data usage,high
Third-party cookies are used for advertising,Third party dependency risk,medium
Many different types of personal data are collected,Personal data usage,medium
There is a date of the last update of the agreements,Policy change risk,low
Third-party cookies are used for statistics,Third party dependency risk,medium
You must report to the service any unauthorized use of your account or any breach of security,Account responsibility,low
"Spidering, crawling, or accessing the site through any automated means is not allowed",Account responsibility,low
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Personal data usage,medium
You authorise the service to charge a credit card supplied on re-occurring basis,Financial commitment risk,low
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Data security and Liability,low
Your account can be deleted without prior notice and without a reason,Account termination risk,medium
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Personal data usage,low
"Terms may be changed any time at their discretion, without notice to you",Policy change risk,medium
This service allows you to retrieve an archive of your data,Personal data usage,none
"The service may change its terms at any time, but the user will receive notification of the changes.",Policy change risk,low
This service requires first-party cookies,Personal data usage,low
This service holds onto content that you've deleted,User content rights risk,high
The service informs users that its privacy policy does not apply to third party websites,Third party dependency risk,low
Third parties used by the service are bound by confidentiality obligations,Third party dependency risk,none
